event_id,timestamp,property_code,person_id,direction,access_point,peep_visits,full_name,email,peep_required,peep_status,mobility_category,last_review_date,risk_status,total_vists_correct
E0000015,2025-06-01 09:24:00,LDS-AR,P100132,IN,Turnstile 1,14.0,Rowan Hernandez,rowan.hernandez@mailinator.com,No,Approved,Ambulatory,2025-08-15,Not Potential,29
E0000016,2025-06-01 19:55:00,LDS-AR,P100132,OUT,Turnstile 1,14.0,Rowan Hernandez,rowan.hernandez@mailinator.com,No,Approved,Ambulatory,2025-08-15,Not Potential,29
E0000017,2025-06-01 09:10:00,MCH-CC,P100232,IN,Turnstile 1,10.0,Avery Hernandez,avery.hernandez@testmail.co,No,Approved,Wheelchair,2025-07-03,Not Potential,21
E0000020,2025-06-01 11:06:00,LDS-AR,P100608,IN,Turnstile 1,8.0,Riley Martinez,riley.martinez@testmail.co,No,Approved,Ambulatory,2025-08-16,Not Potential,17
E0000021,2025-06-01 21:39:00,LDS-AR,P100608,OUT,Gate A,8.0,Riley Martinez,riley.martinez@testmail.co,No,Approved,Ambulatory,2025-08-16,Not Potential,17
E0000022,2025-06-01 09:27:00,EDI-EX,P100282,IN,Turnstile 1,11.0,Parker Johnson,parker.johnson@testmail.co,No,Pending,Ambulatory,2025-06-17,Not Potential,23
E0000023,2025-06-01 16:43:00,EDI-EX,P100282,OUT,Gate B,11.0,Parker Johnson,parker.johnson@testmail.co,No,Pending,Ambulatory,2025-06-17,Not Potential,23
E0000024,2025-06-01 11:55:00,MCH-CC,P100250,IN,Reception,9.0,Reese Thomas,reese.thomas@testmail.co,No,Approved,Ambulatory,2025-07-01,Not Potential,20
E0000025,2025-06-01 22:42:00,MCH-CC,P100250,OUT,Reception,9.0,Reese Thomas,reese.thomas@testmail.co,No,Approved,Ambulatory,2025-07-01,Not Potential,20
E0000026,2025-06-01 07:33:00,BEL-LG,P100082,IN,Reception,9.0,Jordan Wilson,jordan.wilson@testmail.co,No,Pending,Ambulatory,2025-03-10,Not Potential,19
E0000027,2025-06-01 13:20:00,BEL-LG,P100082,OUT,Reception,9.0,Jordan Wilson,jordan.wilson@testmail.co,No,Pending,Ambulatory,2025-03-10,Not Potential,19
E0000028,2025-06-01 07:40:00,BEL-LG,P100616,IN,Reception,10.0,Charlie Thompson,charlie.thompson@example.com,No,Pending,Ambulatory,2025-06-12,Not Potential,22
E0000029,2025-06-01 14:21:00,BEL-LG,P100616,OUT,Gate B,10.0,Charlie Thompson,charlie.thompson@example.com,No,Pending,Ambulatory,2025-06-12,Not Potential,22
E0000030,2025-06-01 08:01:00,BEL-LG,P100248,IN,Turnstile 1,9.0,Quinn Davis,quinn.davis@mailinator.com,Yes,Pending,Ambulatory,2025-02-10,Potential,19
E0000031,2025-06-01 16:28:00,BEL-LG,P100248,OUT,Gate B,9.0,Quinn Davis,quinn.davis@mailinator.com,Yes,Pending,Ambulatory,2025-02-10,Potential,19
E0000032,2025-06-01 09:50:00,CDF-BY,P100364,IN,Gate B,12.0,Sam Miller,sam.miller@example.com,Yes,Pending,Ambulatory,2025-07-25,Potential,25
E0000033,2025-06-01 14:36:00+00:00,CDF-BY,P100364,OUT,Turnstile 1,12.0,Sam Miller,sam.miller@example.com,Yes,Pending,Ambulatory,2025-07-25,Potential,25
E0000034,2025-06-01 10:57:00,BRI-01,P100644,IN,Gate A,11.0,Jamie Martinez,jamie.martinez@testmail.co,No,Pending,Wheelchair,2025-08-08,Not Potential,22
E0000035,2025-06-01 21:43:00,BRI-01,P100644,OUT,Gate A,11.0,Jamie Martinez,jamie.martinez@testmail.co,No,Pending,Wheelchair,2025-08-08,Not Potential,22
E0000036,2025-06-01 11:16:00,BRI-01,P100070,IN,Gate A,17.0,Jamie Taylor,jamie.taylor@testmail.co,No,Approved,HearingImpaired,2025-05-03,Not Potential,35
E0000037,2025-06-01 16:05:00,BRI-01,P100070,OUT,Reception,17.0,Jamie Taylor,jamie.taylor@testmail.co,No,Approved,HearingImpaired,2025-05-03,Not Potential,35
E0000038,2025-06-01 10:13:00,NRW-QP,P100011,IN,Gate B,10.0,Elliot White,elliot.white@testmail.co,No,Revoked,Wheelchair,2025-02-22,Not Potential,20
E0000039,2025-06-01 16:41:00,NRW-QP,P100011,OUT,Gate A,10.0,Elliot White,elliot.white@testmail.co,No,Revoked,Wheelchair,2025-02-22,Not Potential,20
E0000040,2025-06-01 07:20:00,LDS-AR,P100342,IN,Reception,11.0,Avery Rodriguez,avery.rodriguez@mailinator.com,Yes,Approved,Ambulatory,2025-07-22,Not Potential,23
E0000041,2025-06-01 14:16:00,LDS-AR,P100342,OUT,Reception,11.0,Avery Rodriguez,avery.rodriguez@mailinator.com,Yes,Approved,Ambulatory,2025-07-22,Not Potential,23
E0000042,2025-06-01 07:41:00,MCH-CC,P100064,IN,Gate A,7.0,Harper Moore,harper.moore@mailinator.com,No,Approved,VisionImpaired,2025-02-10,Not Potential,16
E0000043,2025-06-01 17:32:00,MCH-CC,P100064,OUT,Gate B,7.0,Harper Moore,harper.moore@mailinator.com,No,Approved,VisionImpaired,2025-02-10,Not Potential,16
E0000044,2025-06-01 09:57:00,MCH-CC,P100465,IN,Gate A,14.0,Taylor Martin,taylor.martin@mailinator.com,No,Approved,Ambulatory,2025-01-24,Not Potential,29
E0000045,2025-06-01 15:51:00+01:00,MCH-CC,P100465,OUT,Turnstile 1,14.0,Taylor Martin,taylor.martin@mailinator.com,No,Approved,Ambulatory,2025-01-24,Not Potential,29
E0000046,2025-06-01 08:19:00,BEL LG,P100055,IN,Gate B,5.0,Harper Rodriguez,harper.rodriguez@example.com,Yes,Not Available,Ambulatory,2025-02-25,Potential,11
E0000047,2025-06-01 10:50:00,NRW-QP,P100535,IN,Gate A,12.0,Charlie Moore,charlie.moore@mailinator.com,No,Pending,Ambulatory,2025-09-22,Not Potential,26
E0000048,2025-06-01 18:20:00,NRW-QP,P100535,OUT,Turnstile 1,12.0,Charlie Moore,charlie.moore@mailinator.com,No,Pending,Ambulatory,2025-09-22,Not Potential,26
E0000049,2025-06-01 07:52:00,LDN-HQ,P100518,IN,Turnstile 1,9.0,Alex White,alex.white@testmail.co,No,Approved,Ambulatory,2025-08-08,Not Potential,18
E0000050,2025-06-01 14:18:00,LDN-HQ,P100518,OUT,Turnstile 1,9.0,Alex White,alex.white@testmail.co,No,Approved,Ambulatory,2025-08-08,Not Potential,18
E0000053,2025-06-01 08:33:00,BEL-LG,P100300,IN,Gate B,6.0,Jamie Davis,jamie.davis@mailinator.com,Yes,Expired,VisionImpaired,2025-02-02,Potential,14
E0000054,2025-06-01 17:59:00,BEL-LG,P100300,OUT,Reception,6.0,Jamie Davis,jamie.davis@mailinator.com,Yes,Expired,VisionImpaired,2025-02-02,Potential,14
E0000055,2025-06-01 08:43:00,BHM-PR,P100595,IN,Turnstile 1,14.0,Quinn Thompson,quinn.thompson@mailinator.com,No,Revoked,Ambulatory,2025-02-11,Not Potential,28
E0000056,2025-06-01 13:48:00,BHM-PR,P100595,OUT,Reception,14.0,Quinn Thompson,quinn.thompson@mailinator.com,No,Revoked,Ambulatory,2025-02-11,Not Potential,28
E0000057,2025-06-01 08:01:00,LDN-HQ,P100032,IN,Gate B,7.0,Reese Thomas,reese.thomas@mailinator.com,No,Pending,Ambulatory,2025-01-27,Not Potential,18
E0000058,2025-06-01 08:03:00,BRI-01,P100491,IN,Reception,10.0,Reese Taylor,reese.taylor@testmail.co,No,Pending,VisionImpaired,2025-08-18,Not Potential,20
E0000059,2025-06-01 13:08:00,BRI-01,P100491,OUT,Gate A,10.0,Reese Taylor,reese.taylor@testmail.co,No,Pending,VisionImpaired,2025-08-18,Not Potential,20
E0000060,2025-06-01 10:52:00,MCH-CC,P100056,IN,Gate A,8.0,Sam Smith,sam.smith@example.com,No,Approved,Ambulatory,2025-02-19,Not Potential,17
E0000061,2025-06-01 16:04:00,MCH-CC,P100056,OUT,Turnstile 1,8.0,Sam Smith,sam.smith@example.com,No,Approved,Ambulatory,2025-02-19,Not Potential,17
E0000062,2025-06-01 08:27:00,BEL-LG,P100175,IN,Gate B,7.0,Rowan Martin,rowan.martin@testmail.co,Yes,Approved,Ambulatory,2025-08-08,Not Potential,16
E0000063,2025-06-01 10:11:00,BEL-LG,P100480,IN,Gate B,11.0,Cameron Anderson,cameron.anderson@mailinator.com,No,Approved,VisionImpaired,2025-09-13,Not Potential,23
E0000064,2025-06-01 16:26:00,BEL-LG,P100480,OUT,Turnstile 1,11.0,Cameron Anderson,cameron.anderson@mailinator.com,No,Approved,VisionImpaired,2025-09-13,Not Potential,23
E0000065,2025-06-01 07:00:00,LDN-HQ,P100551,IN,Turnstile 1,8.0,Drew Williams,drew.williams@mailinator.com,Yes,Expired,HearingImpaired,2025-01-12,Potential,18
E0000066,2025-06-01 10:45:00,NRW-QP,P100210,IN,Turnstile 1,11.0,Elliot Hernandez,elliot.hernandez@example.com,No,Approved,Ambulatory,2025-05-08,Not Potential,22
E0000067,2025-06-01 18:48:00,NRW-QP,P100210,OUT,Reception,11.0,Elliot Hernandez,elliot.hernandez@example.com,No,Approved,Ambulatory,2025-05-08,Not Potential,22
E0000068,2025-06-01 11:45:00,BRI-01,P100111,IN,Gate A,10.0,Drew Martin,drew.martin@mailinator.com,No,Pending,Wheelchair,2025-09-10,Not Potential,21
E0000069,2025-06-01 20:24:00,BRI-01,P100111,OUT,Turnstile 1,10.0,Drew Martin,drew.martin@mailinator.com,No,Pending,Wheelchair,2025-09-10,Not Potential,21
E0000070,2025-06-01 07:37:00,NRW-QP,P100512,IN,Gate B,8.0,Sam Jackson,sam.jackson@testmail.co,No,Approved,Ambulatory,2025-05-25,Not Potential,17
E0000071,2025-06-01 14:33:00+00:00,NRW-QP,P100512,OUT,Reception,8.0,Sam Jackson,sam.jackson@testmail.co,No,Approved,Ambulatory,2025-05-25,Not Potential,17
E0000072,2025-06-01 07:08:00,GLW-CL,P100211,IN,Turnstile 1,11.0,Cameron Martinez,cameron.martinez@mailinator.com,Yes,Approved,Neurodivergent,2025-09-08,Not Potential,23
E0000073,2025-06-01 14:26:00,GLW-CL,P100211,OUT,Turnstile 1,11.0,Cameron Martinez,cameron.martinez@mailinator.com,Yes,Approved,Neurodivergent,2025-09-08,Not Potential,23
E0000074,2025-06-01 08:20:00,BRI-01,P100159,IN,Reception,13.0,Quinn Johnson,quinn.johnson@example.com,No,Approved,Other,2025-01-20,Not Potential,26
E0000075,2025-06-01 13:55:00,BRI-01,P100159,OUT,Reception,13.0,Quinn Johnson,quinn.johnson@example.com,No,Approved,Other,2025-01-20,Not Potential,26
E0000076,2025-06-01 08:02:00,BRI-01,P100166,IN,Gate B,9.0,Jordan Martinez,jordan.martinez@mailinator.com,No,Approved,Neurodivergent,2025-09-21,Not Potential,18
E0000077,2025-06-01 15:09:00,BRI-01,P100166,OUT,Gate A,9.0,Jordan Martinez,jordan.martinez@mailinator.com,No,Approved,Neurodivergent,2025-09-21,Not Potential,18
E0000078,2025-06-01 11:31:00,CDF-BY,P100363,IN,Gate A,11.0,Elliot Hernandez,elliot.hernandez@testmail.co,Yes,Approved,Neurodivergent,2025-03-04,Not Potential,25
E0000079,2025-06-01 21:40:00+01:00,CDF-BY,P100363,OUT,Gate B,11.0,Elliot Hernandez,elliot.hernandez@testmail.co,Yes,Approved,Neurodivergent,2025-03-04,Not Potential,25
E0000080,2025-06-01 09:36:00,BEL-LG,P100524,IN,Gate B,10.0,Cameron Martin,cameron.martin@example.com,No,Expired,Wheelchair,2025-07-20,Not Potential,20
E0000081,2025-06-01 14:09:00,BEL-LG,P100524,OUT,Gate A,10.0,Cameron Martin,cameron.martin@example.com,No,Expired,Wheelchair,2025-07-20,Not Potential,20
E0000082,2025-06-01 07:56:00,GLW-CL,P100077,IN,Turnstile 1,3.0,Jamie Garcia,jamie.garcia@mailinator.com,Yes,Pending,HearingImpaired,2025-01-25,Potential,7
E0000083,2025-06-01 17:03:00,GLW-CL,P100077,OUT,Gate A,3.0,Jamie Garcia,jamie.garcia@mailinator.com,Yes,Pending,HearingImpaired,2025-01-25,Potential,7
E0000086,2025-06-01 09:46:00,EDI-EX,P100003,IN,Gate B,8.0,Cameron Rodriguez,cameron.rodriguez@example.com,No,Approved,Category Not Specified,2025-06-04,Not Potential,19
E0000087,2025-06-01 14:37:00,EDI-EX,P100003,OUT,Gate A,8.0,Cameron Rodriguez,cameron.rodriguez@example.com,No,Approved,Category Not Specified,2025-06-04,Not Potential,19
E0000088,2025-06-01 11:24:00,NRW-QP,P100378,IN,Turnstile 1,12.0,Skyler Wilson,skyler.wilson@mailinator.com,No,Revoked,Ambulatory,2025-04-07,Not Potential,26
E0000089,2025-06-01 22:19:00+00:00,NRW-QP,P100378,OUT,Gate B,12.0,Skyler Wilson,skyler.wilson@mailinator.com,No,Revoked,Ambulatory,2025-04-07,Not Potential,26
E0000090,2025-06-01 08:07:00,BHM-PR,P100272,IN,Reception,8.0,Taylor Brown,taylor.brown@testmail.co,Yes,Pending,Wheelchair,2025-03-21,Potential,18
E0000091,2025-06-01 15:04:00,BHM-PR,P100272,OUT,Gate A,8.0,Taylor Brown,taylor.brown@testmail.co,Yes,Pending,Wheelchair,2025-03-21,Potential,18
E0000092,2025-06-01 10:28:00,NRW-QP,P100293,IN,Reception,8.0,Jamie Thompson,jamie.thompson@example.com,Yes,Approved,Ambulatory,2025-07-22,Not Potential,16
E0000093,2025-06-01 18:55:00,NRW-QP,P100293,OUT,Turnstile 1,8.0,Jamie Thompson,jamie.thompson@example.com,Yes,Approved,Ambulatory,2025-07-22,Not Potential,16
E0000094,2025-06-01 10:05:00,LDS-AR,P100450,IN,Turnstile 1,13.0,Charlie Martinez,charlie.martinez@mailinator.com,No,Approved,Neurodivergent,2025-06-24,Not Potential,27
E0000095,2025-06-01 08:59:00,NRW-QP,P100646,IN,Gate A,6.0,Taylor Taylor,taylor.taylor@testmail.co,Yes,Approved,Ambulatory,2025-02-24,Not Potential,14
E0000096,2025-06-01 16:04:00,NRW-QP,P100646,OUT,Gate B,6.0,Taylor Taylor,taylor.taylor@testmail.co,Yes,Approved,Ambulatory,2025-02-24,Not Potential,14
E0000097,2025-06-01 09:53:00,GLW-CL,P100091,IN,Reception,14.0,Rowan Jackson,rowan.jackson@example.com,No,Revoked,Category Not Specified,2025-02-14,Not Potential,29
E0000098,2025-06-01 14:28:00+00:00,GLW-CL,P100091,OUT,Reception,14.0,Rowan Jackson,rowan.jackson@example.com,No,Revoked,Category Not Specified,2025-02-14,Not Potential,29
E0000098,2025-06-01 14:28:00+00:00,GLW-CL,P100091,OUT,Reception,14.0,Rowan Jackson,rowan.jackson@example.com,No,Revoked,Category Not Specified,2025-02-14,Not Potential,29
E0000099,2025-06-01 11:52:00,LDN-HQ,P100498,IN,Turnstile 1,13.0,Avery Johnson,avery.johnson@testmail.co,No,Pending,Neurodivergent,2025-06-28,Not Potential,27
E0000100,2025-06-01 08:52:00,LDN-HQ,P100498,OUT,Gate B,13.0,Avery Johnson,avery.johnson@testmail.co,No,Pending,Neurodivergent,2025-06-28,Not Potential,27
E0000101,2025-06-01 07:05:00,CDF-BY,P100319,IN,Turnstile 1,8.0,Charlie Davis,charlie.davis@example.com,No,Pending,Ambulatory,2025-05-10,Not Potential,18
E0000102,2025-06-01 16:34:00,CDF-BY,P100319,OUT,Turnstile 1,8.0,Charlie Davis,charlie.davis@example.com,No,Pending,Ambulatory,2025-05-10,Not Potential,18
E0000103,2025-06-01 08:13:00,CDF-BY,P100031,IN,Turnstile 1,7.0,Sam Williams,sam.williams@mailinator.com,Yes,Approved,Ambulatory,2025-05-06,Not Potential,17
E0000104,2025-06-01 12:40:00+00:00,CDF-BY,P100031,OUT,Gate A,7.0,Sam Williams,sam.williams@mailinator.com,Yes,Approved,Ambulatory,2025-05-06,Not Potential,17
E0000105,2025-06-01 10:55:00,GLW-CL,P100329,IN,Reception,5.0,Harper Jones,harper.jones@example.com,No,Revoked,Other,2025-02-26,Not Potential,10
E0000106,2025-06-01 21:34:00,GLW-CL,P100329,OUT,Reception,5.0,Harper Jones,harper.jones@example.com,No,Revoked,Other,2025-02-26,Not Potential,10
E0000107,2025-06-01 08:00:00,BHM-PR,P100177,IN,Gate A,8.0,Harper Jones,harper.jones@testmail.co,No,Approved,Ambulatory,2025-04-12,Not Potential,17
E0000108,2025-06-01 06:00:00,BHM-PR,P100177,OUT,Gate B,8.0,Harper Jones,harper.jones@testmail.co,No,Approved,Ambulatory,2025-04-12,Not Potential,17
E0000109,2025-06-01 11:12:00,MCH-CC,P100432,IN,Reception,7.0,Avery Garcia,avery.garcia@mailinator.com,No,Approved,Ambulatory,2025-09-04,Not Potential,14
E0000110,2025-06-01 18:13:00,MCH-CC,P100432,OUT,Reception,7.0,Avery Garcia,avery.garcia@mailinator.com,No,Approved,Ambulatory,2025-09-04,Not Potential,14
E0000111,2025-06-01 10:37:00,CDF-BY,P100045,IN,Turnstile 1,11.0,Cameron Davis,cameron.davis@mailinator.com,No,Pending,Ambulatory,2025-02-25,Not Potential,23
E0000112,2025-06-01 21:02:00+00:00,CDF-BY,P100045,OUT,Reception,11.0,Cameron Davis,cameron.davis@mailinator.com,No,Pending,Ambulatory,2025-02-25,Not Potential,23
E0000113,2025-06-01 11:38:00,LDS-AR,P100265,IN,Turnstile 1,11.0,Jamie Taylor,jamie.taylor@mailinator.com,No,Approved,Ambulatory,2025-01-28,Not Potential,23
E0000114,2025-06-01 19:09:00,LDS-AR,P100265,OUT,Reception,11.0,Jamie Taylor,jamie.taylor@mailinator.com,No,Approved,Ambulatory,2025-01-28,Not Potential,23
E0000115,2025-06-01 07:27:00,BRI-01,P100079,IN,Gate A,9.0,Harper Martinez,harper.martinez@testmail.co,No,Pending,Ambulatory,2025-07-27,Not Potential,19
E0000116,2025-06-01 16:53:00,BRI-01,P100079,OUT,Turnstile 1,9.0,Harper Martinez,harper.martinez@testmail.co,No,Pending,Ambulatory,2025-07-27,Not Potential,19
E0000117,2025-06-01 08:18:00,NRW-QP,P100448,IN,Reception,6.0,Jesse Anderson,jesse.anderson@testmail.co,No,Revoked,Ambulatory,2025-05-15,Not Potential,17
E0000118,2025-06-01 13:50:00,NRW-QP,P100448,OUT,Turnstile 1,6.0,Jesse Anderson,jesse.anderson@testmail.co,No,Revoked,Ambulatory,2025-05-15,Not Potential,17
E0000119,2025-06-01 10:08:00,BHM-PR,P100102,IN,Reception,12.0,Avery Thompson,avery.thompson@testmail.co,No,Approved,Neurodivergent,2025-09-11,Not Potential,25
E0000120,2025-06-01 09:50:00,EDI-EX,P100311,IN,Gate B,14.0,Jesse Martinez,jesse.martinez@example.com,No,Pending,Ambulatory,2025-06-06,Not Potential,28
E0000121,2025-06-01 16:34:00,EDI-EX,P100311,OUT,Gate B,14.0,Jesse Martinez,jesse.martinez@example.com,No,Pending,Ambulatory,2025-06-06,Not Potential,28
E0000122,2025-06-01 10:06:00,BRI-01,P100441,IN,Reception,9.0,Elliot Miller,elliot.miller@testmail.co,No,Pending,Ambulatory,2025-04-13,Not Potential,18
E0000123,2025-06-01 15:41:00+01:00,BRI-01,P100441,OUT,Turnstile 1,9.0,Elliot Miller,elliot.miller@testmail.co,No,Pending,Ambulatory,2025-04-13,Not Potential,18
E0000124,2025-06-01 11:02:00,EDI-EX,P100451,IN,Turnstile 1,9.0,Quinn Thomas,quinn.thomas@example.com,Yes,Approved,Ambulatory,2025-02-07,Not Potential,20
E0000125,2025-06-01 19:16:00,EDI-EX,P100451,OUT,Turnstile 1,9.0,Quinn Thomas,quinn.thomas@example.com,Yes,Approved,Ambulatory,2025-02-07,Not Potential,20
E0000126,2025-06-01 07:49:00,MCH-CC,P100421,IN,Turnstile 1,13.0,Sam Martin,sam.martin@testmail.co,Yes,Pending,Ambulatory,2025-02-14,Potential,26
E0000127,2025-06-01 18:33:00,MCH-CC,P100421,OUT,Gate A,13.0,Sam Martin,sam.martin@testmail.co,Yes,Pending,Ambulatory,2025-02-14,Potential,26
E0000128,2025-06-01 10:51:00,BRI-01,P100559,IN,Gate A,8.0,Jamie Garcia,jamie.garcia@testmail.co,No,Pending,Ambulatory,2025-06-18,Not Potential,18
E0000128,2025-06-01 10:51:00,BRI-01,P100559,IN,Gate A,8.0,Jamie Garcia,jamie.garcia@testmail.co,No,Pending,Ambulatory,2025-06-18,Not Potential,18
E0000129,2025-06-01 07:52:00,EDI-EX,P100164,IN,Gate A,10.0,Riley Brown,riley.brown@example.com,Yes,Approved,Ambulatory,2025-08-26,Not Potential,20
E0000130,2025-06-01 12:47:00,EDI-EX,P100164,OUT,Turnstile 1,10.0,Riley Brown,riley.brown@example.com,Yes,Approved,Ambulatory,2025-08-26,Not Potential,20
E0000131,2025-06-01 10:46:00,LDN-HQ,P100495,IN,Gate B,16.0,Jamie Brown,jamie.brown@mailinator.com,No,Approved,HearingImpaired,2025-05-01,Not Potential,33
E0000132,2025-06-01 17:38:00,LDN-HQ,P100495,OUT,Reception,16.0,Jamie Brown,jamie.brown@mailinator.com,No,Approved,HearingImpaired,2025-05-01,Not Potential,33
E0000133,2025-06-01 07:15:00,LDS-AR,P100066,IN,Reception,7.0,Quinn Rodriguez,quinn.rodriguez@testmail.co,No,Approved,Wheelchair,2025-03-07,Not Potential,16
E0000134,2025-06-01 15:25:00,LDS-AR,P100066,OUT,Reception,7.0,Quinn Rodriguez,quinn.rodriguez@testmail.co,No,Approved,Wheelchair,2025-03-07,Not Potential,16
E0000135,2025-06-01 08:48:00,GLW-CL,P100347,IN,Reception,13.0,Taylor Moore,taylor.moore@example.com,No,Approved,Ambulatory,2025-02-28,Not Potential,28
E0000136,2025-06-01 14:39:00,GLW-CL,P100347,OUT,Reception,13.0,Taylor Moore,taylor.moore@example.com,No,Approved,Ambulatory,2025-02-28,Not Potential,28
E0000137,2025-06-01 09:01:00,NRW-QP,P100050,IN,Gate A,12.0,Harper Thomas,harper.thomas@testmail.co,Yes,Expired,Ambulatory,2025-01-28,Potential,25
E0000138,2025-06-01 17:05:00,NRW-QP,P100050,OUT,Gate B,12.0,Harper Thomas,harper.thomas@testmail.co,Yes,Expired,Ambulatory,2025-01-28,Potential,25
E0000139,2025-06-01 07:42:00,BRI-01,P100412,IN,Gate B,7.0,Drew Thompson,drew.thompson@mailinator.com,No,Revoked,Ambulatory,2025-06-27,Not Potential,16
E0000140,2025-06-01 10:25:00,CDF-BY,P100219,IN,Turnstile 1,8.0,Casey Anderson,casey.anderson@testmail.co,No,Approved,Ambulatory,2025-07-10,Not Potential,16
E0000141,2025-06-01 17:23:00,CDF-BY,P100219,OUT,Gate B,8.0,Casey Anderson,casey.anderson@testmail.co,No,Approved,Ambulatory,2025-07-10,Not Potential,16
E0000142,2025-06-01 08:56:00,MCH-CC,P100040,IN,Reception,12.0,Skyler Jackson,skyler.jackson@mailinator.com,Yes,Pending,Ambulatory,2025-06-22,Potential,25
E0000143,2025-06-01 19:46:00,MCH-CC,P100040,OUT,Turnstile 1,12.0,Skyler Jackson,skyler.jackson@mailinator.com,Yes,Pending,Ambulatory,2025-06-22,Potential,25
E0000144,2025-06-01 10:46:00,CDF-BY,P100205,IN,Gate B,13.0,Rowan Johnson,rowan.johnson@testmail.co,Yes,Pending,Wheelchair,2025-07-12,Potential,26
E0000145,2025-06-01 19:04:00,CDF-BY,P100205,OUT,Turnstile 1,13.0,Rowan Johnson,rowan.johnson@testmail.co,Yes,Pending,Wheelchair,2025-07-12,Potential,26
E0000146,2025-06-01 08:01:00,LDS-AR,P100323,IN,Turnstile 1,6.0,Avery Hernandez,avery.hernandez@testmail.co,No,Approved,Wheelchair,2025-02-03,Not Potential,13
E0000147,2025-06-01 18:20:00,LDS-AR,P100323,OUT,Gate A,6.0,Avery Hernandez,avery.hernandez@testmail.co,No,Approved,Wheelchair,2025-02-03,Not Potential,13
E0000148,2025-06-01 09:40:00,EDI-EX,P100007,IN,Gate A,15.0,Jamie White,jamie.white@mailinator.com,No,Approved,Ambulatory,2025-09-08,Not Potential,31
E0000149,2025-06-01 18:47:00,EDI-EX,P100007,OUT,Gate A,15.0,Jamie White,jamie.white@mailinator.com,No,Approved,Ambulatory,2025-09-08,Not Potential,31
E0000150,2025-06-01 11:36:00,CDF-BY,P100590,IN,Gate B,11.0,Avery Martin,avery.martin@testmail.co,No,Pending,Ambulatory,2025-08-20,Not Potential,22
E0000151,2025-06-01 18:18:00,CDF-BY,P100590,OUT,Gate B,11.0,Avery Martin,avery.martin@testmail.co,No,Pending,Ambulatory,2025-08-20,Not Potential,22
E0000152,2025-06-01 08:06:00,BHM-PR,P100530,IN,Gate B,8.0,Jordan Hernandez,jordan.hernandez@mailinator.com,Yes,Revoked,Ambulatory,2025-09-10,Potential,18
E0000153,2025-06-01 14:35:00,BHM-PR,P100530,OUT,Reception,8.0,Jordan Hernandez,jordan.hernandez@mailinator.com,Yes,Revoked,Ambulatory,2025-09-10,Potential,18
E0000154,2025-06-01 08:30:00,NRW-QP,P100609,IN,Gate A,16.0,Taylor Moore,taylor.moore@mailinator.com,Yes,Approved,Ambulatory,2025-02-07,Not Potential,34
